state,model,mae,rmse,mape,smape
Nevada,SARIMA,2720374.542131746,2857730.9530538144,2.6494218735007213,2.688767755000332
Nevada,Prophet,3243161.168638516,3782201.1524276105,3.158153255271406,3.227385021786242
Nevada,XGBoost,2108041.354166653,2292017.135725779,2.0530613941112605,2.0783378079972765
Nevada,LSTM,1261858.597024098,1408184.4780694037,1.2289868201200305,1.2291488666305532
New Hampshire,SARIMA,1030255.5195865398,1087900.4375590961,1.8374104187404954,1.8564430980040185
New Hampshire,Prophet,2411339.9510690747,2596273.471341925,4.300578182882454,4.4108148387966795
New Hampshire,XGBoost,1738268.7020833334,1845526.6160061734,3.1002791909491068,3.155486316743853
New Hampshire,LSTM,249594.0166714033,283160.9119214354,0.44509230657554644,0.4453364489651403
New Mexico,SARIMA,2154500.9381295443,2298327.339213872,2.948925076271017,2.999326687660179
New Mexico,Prophet,1537520.5181269348,1727079.3219818436,2.105583679554023,2.1337080537293165
New Mexico,XGBoost,1139750.566666672,1292034.4334651057,1.5594013844738033,1.575211706061326
New Mexico,LSTM,778718.1532530729,910670.7953051906,1.0651123322471625,1.069057663960784
New York,SARIMA,7494438.577821396,7811445.532316733,1.7070040681973222,1.7229889877948066
New York,Prophet,18044347.33806047,19885546.45758908,4.110344626005562,4.215970414965462
New York,XGBoost,14491205.097916685,14864270.604681654,3.300429504311553,3.3587743276819917
New York,LSTM,2861605.7076356113,3181064.8927882933,0.6516655170951463,0.6499945370065283
North Carolina,SARIMA,6544430.62541613,7010613.621065619,1.8291127131851417,1.8485314512971398
North Carolina,Prophet,11227325.592782326,12588659.136124972,3.139985622739055,3.2033120376834097
North Carolina,XGBoost,12634868.40208333,13110699.942345692,3.532892841773119,3.6014864836527716
North Carolina,LSTM,4129927.8628870323,4608395.859117867,1.1543246651887482,1.1543247522196325
Ohio,SARIMA,9554983.468408786,10030782.977953924,2.5562430232007007,2.5928040239396815
Ohio,Prophet,12608266.875718877,13668575.137946635,3.3731665088266847,3.4415007049387047
Ohio,XGBoost,13738652.5,14254991.503709093,3.675603804029111,3.7498718505892676
Ohio,LSTM,4963327.026174113,6326094.170360661,1.3277127441162186,1.3407900416918406
Oklahoma,SARIMA,1413662.3903341293,1614772.933297061,0.9627413833269196,0.9656057312017521
Oklahoma,Prophet,2052056.9293340892,2712589.5531388414,1.3959475006229864,1.4130382992718455
Oklahoma,XGBoost,6222553.722916666,6363277.914072647,4.240789579785355,4.337208124161963
Oklahoma,LSTM,1544753.1104515009,1709234.6796600765,1.052461597293392,1.0505678547642363
Oregon,SARIMA,1139398.6848016009,1317964.1859632893,0.9942619365975194,0.9966571244803398
Oregon,Prophet,3767335.3907862846,4156542.070733393,3.286207567610269,3.3533881765130134
